epoch,lr-Adam,step,train_loss_step
,0.03,0,
0,,49,23.37190818786621
0,,99,21.041473388671875
0,,149,21.18528938293457
0,,199,23.12034034729004
0,,249,25.638885498046875
0,,299,20.474946975708008
0,,349,22.780738830566406
0,,399,15.7376070022583
0,,449,25.402002334594727
0,,499,20.050912857055664
0,,549,23.28183937072754
0,,599,26.237937927246094
0,,649,20.20774269104004
0,,699,19.192014694213867
0,,749,21.5927677154541
0,,799,20.07887840270996
0,,849,23.34650993347168
0,,899,27.172927856445312
0,,949,24.911117553710938
0,,999,22.661903381347656
0,,1049,20.063209533691406
0,,1099,17.988046646118164
0,,1149,23.809234619140625
0,,1199,21.427406311035156
0,,1249,22.87391471862793
0,,1299,19.175477981567383
0,,1349,21.331926345825195
0,,1399,23.491308212280273
0,,1449,21.44019317626953
0,,1499,22.58396339416504
0,,1549,22.841047286987305
0,,1599,19.628189086914062
0,,1649,20.653173446655273
0,,1699,20.973085403442383
0,,1749,24.032886505126953
0,,1799,25.207489013671875
0,,1849,22.21903419494629
0,,1899,21.76674461364746
0,,1949,20.349689483642578
0,,1999,23.60322380065918
0,,2049,23.2464656829834
0,,2099,20.550994873046875
0,,2149,19.007516860961914
0,,2199,20.599342346191406
0,,2249,19.57204246520996
0,,2299,16.35724639892578
0,,2349,23.24552345275879
0,,2399,20.50672721862793
0,,2449,19.13733673095703
0,,2499,21.38040542602539
0,,2549,25.201366424560547
0,,2599,20.401365280151367
0,,2649,21.575353622436523
0,,2699,23.229345321655273
0,,2749,18.84577178955078
0,,2799,23.021530151367188
0,,2849,21.392553329467773
0,,2899,21.742033004760742
0,,2949,21.66825294494629
0,,2999,20.56003761291504
0,,3049,25.47621726989746
0,,3099,21.94151496887207
0,,3149,22.43475914001465
0,,3199,29.78790855407715
0,,3249,20.2346248626709
0,,3299,20.478788375854492
0,,3349,23.82450294494629
0,,3399,22.596349716186523
0,,3449,21.87481689453125
0,,3499,17.342397689819336
0,,3549,23.136056900024414
0,,3599,21.3645076751709
0,,3649,20.118743896484375
0,,3699,20.0316162109375
0,,3749,20.76480484008789
0,,3799,24.4157657623291
0,,3849,19.154027938842773
