epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,0,,,,,,,
0,,49,,25.848363876342773,,,,,
0,,99,,25.79524803161621,,,,,
0,,149,,26.728681564331055,,,,,
0,,199,,26.49092674255371,,,,,
0,,249,,21.844995498657227,,,,,
0,,299,,22.62471580505371,,,,,
0,,349,,21.02459144592285,,,,,
0,,399,,22.901784896850586,,,,,
0,,449,,22.529760360717773,,,,,
0,,499,,21.479764938354492,,,,,
0,,549,,21.102876663208008,,,,,
0,,599,,25.426443099975586,,,,,
0,,649,,25.045223236083984,,,,,
0,,699,,23.48834228515625,,,,,
0,,749,,22.76030731201172,,,,,
0,,799,,22.267141342163086,,,,,
0,,849,,23.297636032104492,,,,,
0,,899,,21.63163185119629,,,,,
0,,949,,24.069656372070312,,,,,
0,,999,,24.52326202392578,,,,,
0,,1049,,23.8333797454834,,,,,
0,,1091,,,39.54508972167969,8533371.0,49.55323791503906,0.4439360797405243,21.7169189453125
0,,1091,23.778440475463867,,,,,,
,0.03,1092,,,,,,,
1,,1099,,26.735897064208984,,,,,
1,,1149,,27.661027908325195,,,,,
1,,1199,,24.38909339904785,,,,,
1,,1249,,23.663299560546875,,,,,
1,,1299,,23.706375122070312,,,,,
1,,1349,,24.62050437927246,,,,,
1,,1399,,25.15043067932129,,,,,
1,,1449,,18.432132720947266,,,,,
1,,1499,,24.141027450561523,,,,,
1,,1549,,25.96234130859375,,,,,
1,,1599,,22.77569007873535,,,,,
1,,1649,,20.17945671081543,,,,,
1,,1699,,23.244245529174805,,,,,
1,,1749,,26.640188217163086,,,,,
1,,1799,,22.946096420288086,,,,,
1,,1849,,20.177001953125,,,,,
1,,1899,,22.486480712890625,,,,,
1,,1949,,23.93839454650879,,,,,
1,,1999,,23.984222412109375,,,,,
1,,2049,,22.03421974182129,,,,,
1,,2099,,24.63593101501465,,,,,
1,,2149,,24.745817184448242,,,,,
1,,2183,,,40.28413391113281,11157902.0,50.61708068847656,0.45021915435791016,22.06133270263672
1,,2183,23.077787399291992,,,,,,
,0.03,2184,,,,,,,
2,,2199,,23.097915649414062,,,,,
2,,2249,,22.312700271606445,,,,,
2,,2299,,28.300399780273438,,,,,
2,,2349,,22.952035903930664,,,,,
2,,2399,,20.491592407226562,,,,,
2,,2449,,25.330968856811523,,,,,
2,,2499,,25.608322143554688,,,,,
2,,2549,,24.7744197845459,,,,,
2,,2599,,27.454660415649414,,,,,
2,,2649,,22.5766658782959,,,,,
2,,2699,,21.867212295532227,,,,,
2,,2749,,21.061708450317383,,,,,
2,,2799,,22.298095703125,,,,,
2,,2849,,23.019287109375,,,,,
2,,2899,,23.056289672851562,,,,,
2,,2949,,21.181690216064453,,,,,
2,,2999,,20.776443481445312,,,,,
2,,3049,,25.77181053161621,,,,,
